ID,DateTimeStart,What,Where,Trig,Duration,S-P (s),FirstStation,RecordedOn,ROD__,FPS,TimeRef,M,Conf,Comments,,,,,,,,,,,,,,,,,,,,,
,2021-09-12 11:20:00.0,Lahar,,,40m,,,MSS1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021-09-14 04:54:19.0,VT,,,,,,Most,,,,,,first arrival at MBLY,,,,,,,,,,,,,,,,,,,,,
,2021-09-14 05:37:00.0,Lightning,,,40m,,,MSS1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021-09-14 08:52:00.0,Lightning,,,10m,,,MSS1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021-09-14 15:11:00.0,Helicopter,,,,,,Several,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021-09-14 19:35:00.0,,,,,,,Some,,,,,,"distal VT or LP, from N",,,,,,,,,,,,,,,,,,,,,
,2021-09-14 22:36:33.0,,,,,,,Most,,,,,,Regional or distal VT,,,,,,,,,,,,,,,,,,,,,
,2021-09-19 14:44:00.0,Regional,,,,,,All,,,,,,Earthworm triggered on S,,,,,,,,,,,,,,,,,,,,,
,2021-09-19 19:14:00.0,VT,,,,,,Most,,,,,,"Located NE of dome, first arrival at MBLG",,,,,,,,,,,,,,,,,,,,,
20210921-0445,2021-09-21 04:45:42.0,Rockfall,Chances Peak S,Y,40s,,MSS1,Most,y,,,,y,"2 rockfalls in 3 minutes, on W of dome? Caught on Fergus Ridge camera: Chances Peak.",,,,,,,,,,,,,,,,,,,,,
20210921-0448,2021-09-21 04:48:09.5,Rockfall,Chances Peak S,Y,35s,,MSS1,Close,y,,,,y,"2 rockfalls in 3 minutes, on W of dome? Caught on Fergus Ridge camera: Chances Peak.",,,,,,,,,,,,,,,,,,,,,
,2021-09-22 02:24:00.0,VT + regional,,,,,,Most,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021-09-22 15:19:00.0,Helicopter,,,,,,Some,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021-09-27 10:00:00.0,Lahar,,,,,,"MSS1, MBLY",,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021-09-27 11:37:00.0,Regional,,,,,,All,,,,,,Triggered on S wave,,,,,,,,,,,,,,,,,,,,,
20210927-1745,2021-09-27 17:45:29.4,Distal rockfall,Irish Ghaut,,20s,,MBLG,"MBLG,MSS1",y,,,,,Part of rockfall string.,,,,,,,,,,,,,,,,,,,,,
20210927-1746,2021-09-27 17:46:56.2,Distal rockfall,Irish Ghaut,,20s,,MBLG,"MBLG,MBHA,MSS1,MBLY",y,,,,,Part of rockfall string.,,,,,,,,,,,,,,,,,,,,,
20210927-1748,2021-09-27 17:48:37.3,Distal rockfall,Irish Ghaut,,30s,,MBLG,Most,y,,,,,Part of rockfall string. This is maybe a LP/rockfall,,,,,,,,,,,,,,,,,,,,,
20210927-1751,2021-09-27 17:51:48.9,Distal rockfall,Irish Ghaut,,35s,,MBLG,"MBLG,MSS1,MBHA,MBLY",y,,,,,Part of rockfall string.,,,,,,,,,,,,,,,,,,,,,
,2021-09-30 15:02:00.0,Lahar,,,20m,,,"MSS1, MBLY",,,,,,Rain localised on volcano,,,,,,,,,,,,,,,,,,,,,
20211001-0058,2021-10-01 00:58:44.4,Rockfall,,Y,40s,,MSS1,Most,y,,,,,"Looks a bit like P and S from a regional, but not recorded on MBRV or regional stations",,,,,,,,,,,,,,,,,,,,,
20211003-1342,2021-10-03 13:42:15.7,Rockfall,,N,45s,,MSS1,"MSS1,MBLG,MBLY,MBWH,MBHA,MBRY,MBGH",y,,,,,"Long duration, almost a minute. Seems to be first at MSS1 and MBLG.  Eastern side?",,,,,,,,,,,,,,,,,,,,,
,2021-10-07 13:07:30.0,Rockfall,,,,,,Most,,,,,,Could be a complex VT,,,,,,,,,,,,,,,,,,,,,
,2021-10-19 16:19:00.0,VT,,,,,,Most,,,,,,"Located SW?, first arrival at MBLY, MBGH. Two more similar smaller events in 5 minutes.",,,,,,,,,,,,,,,,,,,,,
20211031-1831,2021-10-31 18:31:44.7,Rockfall,,Y,70s,,MSS1,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,
20211110-1537,2021-11-10 15:37:36.4,Distal rockfall,Irish Ghaut,Y,,,MBLG,Close,,,,,,Was classified as LP,,,,,,,,,,,,,,,,,,,,,
,2021-11-13 08:30:00.0,Lahar,,,10m,,,MSS1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021-11-13 16:40:00.0,,,,,,,MSS1,,,,,,Electrical spikes or lightning,,,,,,,,,,,,,,,,,,,,,
,2021-11-22 01:30:00.0,,,,,,,MSS1,,,,,,Local noise,,,,,,,,,,,,,,,,,,,,,
,2021-11-28 16:53:06.0,Distal VT,,,,,,All,,,,,,"S-P 2 seconds, loc 3.5 km E of Montserrat",,,,,,,,,,,,,,,,,,,,,
,2021-12-30 23:26:00.0,Lahar,,,20m,,,MSS1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021-11-30 23:38:42.0,Regional S or Distal VT?,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021-12-01 04:17:43.0,Regional S or Distal VT?,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021-12-04 04:30:00.0,Swell noise,,,,,,Close,,,,,,3 arrivals,,,,,,,,,,,,,,,,,,,,,
,2021-12-05 04:23:00.0,Swell noise,,,,,,Close,,,,,,2 arrivals at MBLG and MBHA,,,,,,,,,,,,,,,,,,,,,
,2022-01-06 18:23:00.0,VT,,,,,,MSS1,y,,,,,Small VT with second signal (rockfall?) 6.5 minutes later. Tremor between.,,,,,,,,,,,,,,,,,,,,,
,2022-01-10 01:14:00.0,Distal VT?,,,,,,Some,,,,,,Located West of Montserrat,,,,,,,,,,,,,,,,,,,,,
,2022-01-10 02:16:00.0,Distal VT?,,,,,,Some,,,,,,Located West of Montserrat,,,,,,,,,,,,,,,,,,,,,
20220111-2023,2022-01-11 20:23:59.7,Local,,Y,,,MBHA,All,y,,,,,Suitable for Q experiment,,,,,,,,,,,,,,,,,,,,,
